Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1676.3051245907197
FDW14,OUT017,1378.3011854064418
NCN55,OUT010,620.6519273492935
FDQ58,OUT017,2461.4209795515944
FDY38,OUT027,6160.41186528432
FDH56,OUT046,1943.0764004828413
FDL48,OUT018,674.6748782984255
FDC48,OUT027,2286.339678269398
FDN33,OUT045,1551.0225705742864
FDA36,OUT017,3137.971372045607
FDT44,OUT017,1940.9336787525485
FDQ56,OUT045,1376.8912677602088
NCC54,OUT019,573.2584720919259
FDU11,OUT049,2042.2243273215413
DRL59,OUT013,812.4547494750358
FDM24,OUT049,2456.053587876666
FDI57,OUT045,2907.003084673267
DRC12,OUT018,2881.366651543308
NCM42,OUT027,2918.274279459001
FDA46,OUT010,483.98232499936444
FDA31,OUT013,2810.9614470708157
NCJ31,OUT035,3942.5707631506825
FDG52,OUT046,783.2179639786212
NCL19,OUT019,317.68511770814695
FDS10,OUT035,3018.310514285896
FDX22,OUT010,601.6393702131969
NCF19,OUT035,769.8342330865947
NCE06,OUT046,2674.6244065594365
DRC27,OUT046,3893.799498403256
FDE21,OUT035,1884.6525352678345
NCR42,OUT019,106.70213675504363
FDX51,OUT018,2964.9761550985504
NCR06,OUT018,539.8157040684808
FDU31,OUT027,5658.0381589644
FDU59,OUT017,2535.6038267560407
FDR03,OUT027,5432.936017305071
FDS49,OUT027,2228.444250508221
FDD48,OUT010,275.47542733919875
NCF18,OUT017,3172.0890639979584
NCD43,OUT027,2736.7883015086186
NCD54,OUT018,1921.385990485687
FDY19,OUT010,274.21176790516313
NCY54,OUT017,2767.9907248596633
NCL19,OUT018,2009.1373612666146
FDP23,OUT010,612.5182613378871
FDC26,OUT013,1820.2700797088082
FDR14,OUT010,155.93090480095475
NCS41,OUT035,3257.049088612662
FDF41,OUT035,4004.3392006964523
FDU34,OUT046,2093.666318873238
DRH11,OUT046,883.1893084469681
FDM03,OUT013,1691.8763024311424
FDS31,OUT017,3057.8186685222795
FDJ20,OUT017,2005.6598133356194
FDV44,OUT027,5118.147927575786
FDG02,OUT049,3203.6034616195616
FDA09,OUT013,3081.2819401783536
